Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,26.889999,26.950001,26.370001,26.580000,26.140469,6136000
2022-07-12,26.530001,26.870001,26.370001,26.590000,26.150305,5197000
2022-07-13,26.330000,27.090000,25.950001,26.730000,26.287989,7119900
2022-07-14,26.440001,26.830000,26.040001,26.400000,25.963442,6633600
2022-07-15,26.389999,26.790001,25.850000,26.549999,26.110964,6464800
2022-07-18,26.900000,27.180000,26.020000,26.120001,25.688076,6260100
2022-07-19,26.250000,27.150000,26.110001,26.959999,26.514183,7068400
2022-07-20,27.000000,27.180000,25.770000,25.990000,25.560225,14736400
2022-07-21,26.049999,26.070000,25.010000,25.330000,24.911139,12130500
2022-07-22,25.490000,26.240000,25.180000,25.840000,25.412704,10870400
2022-07-25,25.920000,26.780001,25.900000,26.480000,26.175783,10255700
2022-07-26,26.490000,26.700001,26.120001,26.200001,25.899000,6015000
2022-07-27,26.379999,26.879999,26.260000,26.870001,26.561304,5446300
2022-07-28,26.969999,28.139999,26.910000,27.930000,27.609125,9270700
2022-07-29,27.910000,28.639999,27.879999,28.040001,27.717863,10100100
2022-08-01,28.040001,28.680000,27.770000,27.879999,27.559698,8202200
2022-08-02,27.850000,28.600000,27.719999,28.379999,28.053953,7214800
2022-08-03,28.360001,28.480000,27.879999,28.120001,27.796946,6627100
2022-08-04,28.379999,28.870001,28.100000,28.809999,28.479013,5433900
2022-08-05,28.750000,29.139999,28.629999,28.830000,28.498785,4063300
2022-08-08,29.260000,30.190001,29.170000,29.730000,29.388445,9073300
2022-08-09,29.840000,30.139999,29.190001,29.580000,29.240171,6007000
2022-08-10,29.959999,30.930000,29.799999,30.680000,30.327532,8105700
2022-08-11,30.920000,30.990000,29.900000,30.129999,29.783850,6286900
2022-08-12,30.320000,30.959999,29.950001,30.900000,30.545008,8429300
2022-08-15,30.730000,31.000000,30.150000,30.340000,29.991438,7390400
2022-08-16,30.340000,30.940001,30.340000,30.590000,30.238567,5016200
2022-08-17,30.410000,30.670000,29.959999,30.430000,30.080406,6125800
2022-08-18,30.530001,31.070000,30.490000,30.840000,30.485695,4327000
2022-08-19,30.680000,30.980000,29.750000,29.850000,29.507067,7775300
2022-08-22,29.559999,29.620001,28.809999,28.950001,28.617409,7237300
2022-08-23,28.940001,29.040001,28.530001,28.799999,28.469130,8786300
2022-08-24,28.850000,29.280001,28.740000,28.790001,28.459248,5426700
2022-08-25,29.030001,29.379999,28.860001,28.950001,28.617409,5546600
2022-08-26,29.180000,29.230000,28.610001,28.809999,28.479013,6257700
2022-08-29,28.680000,28.719999,28.059999,28.370001,28.044069,6306200
2022-08-30,28.480000,28.620001,28.090000,28.389999,28.063841,11887500
2022-08-31,28.670000,28.760000,28.200001,28.290001,27.964989,11184100
2022-09-01,28.280001,28.639999,27.600000,28.379999,28.053953,7750600
2022-09-02,28.580000,30.280001,28.400000,30.209999,29.862930,15536400
2022-09-05,30.379999,31.420000,30.309999,30.900000,30.545008,7376200
2022-09-06,30.920000,31.190001,30.020000,30.290001,29.942013,7818500
2022-09-08,30.290001,30.690001,29.700001,30.209999,29.862930,6160600
2022-09-09,30.299999,30.870001,30.290001,30.450001,30.100176,3199600
2022-09-12,30.750000,32.230000,30.680000,31.799999,31.434666,8149600
2022-09-13,31.270000,31.510000,30.420000,30.610001,30.258337,7885400
2022-09-14,30.590000,30.910000,30.280001,30.620001,30.268221,4667700
2022-09-15,30.549999,30.559999,29.820000,30.010000,29.665230,3266400
2022-09-16,29.799999,30.639999,29.500000,30.480000,30.129829,12522000
2022-09-19,30.440001,30.980000,30.059999,30.600000,30.248451,5470400
2022-09-20,30.670000,31.440001,30.650000,31.129999,30.772362,7372000
2022-09-21,31.000000,31.559999,30.670000,31.180000,30.821789,6342700
2022-09-22,31.350000,31.389999,30.080000,31.010000,30.653740,8889000
2022-09-23,30.420000,30.680000,30.139999,30.570000,30.218796,5895500
2022-09-26,30.570000,30.570000,30.570000,30.570000,30.262470,0
2022-09-27,30.760000,30.799999,29.900000,30.049999,29.747702,7256200
2022-09-28,30.049999,30.639999,29.809999,30.320000,30.014986,5869400
2022-09-29,30.010000,30.240000,29.580000,30.139999,29.836796,9294800
2022-09-30,30.850000,32.180000,30.549999,32.139999,31.816677,15921500
2022-10-03,32.330002,33.630001,31.330000,33.580002,33.242191,14750100
2022-10-04,33.799999,34.139999,32.919998,33.240002,32.905609,5980900
2022-10-05,33.360001,33.950001,32.650002,33.669998,33.331284,6648500
2022-10-06,33.990002,34.180000,33.660000,33.730000,33.390682,5312700
2022-10-07,33.720001,33.840000,33.020000,33.349998,33.014500,4132400
2022-10-10,33.580002,34.389999,33.560001,34.270000,33.925247,5924600
2022-10-11,34.200001,34.639999,33.740002,33.900002,33.558975,6250100
2022-10-13,33.580002,34.000000,33.040001,33.470001,33.133301,6147300
2022-10-14,33.480000,33.840000,32.349998,32.860001,32.529434,6263600
2022-10-17,32.889999,33.919998,32.630001,33.610001,33.271893,7601300
2022-10-18,33.980000,35.029999,33.970001,34.560001,34.212334,9402000
2022-10-19,34.480000,34.770000,34.279999,34.650002,34.301426,4180600
2022-10-20,34.740002,34.840000,34.209999,34.660000,34.311329,7265000
2022-10-21,34.639999,35.509998,34.470001,35.200001,34.845898,6512600
2022-10-24,34.860001,35.160000,34.360001,34.919998,34.568710,8644200
2022-10-25,34.790001,35.840000,34.730000,35.049999,34.697403,11524300
2022-10-26,36.790001,38.959999,36.610001,37.980000,37.597927,28711200
2022-10-27,37.830002,39.410000,37.529999,38.830002,38.439381,10912300
2022-10-28,38.630001,39.250000,37.880001,38.470001,38.083000,7314600
2022-10-31,37.700001,40.599998,37.450001,40.279999,39.874790,12566800
2022-11-01,40.049999,40.490002,39.160000,39.410000,39.013542,11428100
2022-11-03,38.860001,40.500000,38.000000,40.200001,39.795597,8951600
2022-11-04,40.299999,41.490002,40.290001,40.799999,40.389557,12213700
2022-11-07,40.299999,41.889999,40.299999,40.900002,40.488552,10878700
2022-11-08,40.900002,42.419998,40.480000,40.799999,40.389557,13437300
2022-11-09,40.750000,41.689999,40.139999,40.599998,40.191566,8842100
2022-11-10,40.150002,40.750000,38.250000,39.230000,38.835354,18520800
2022-11-11,39.139999,40.320000,38.369999,39.990002,39.587711,9507500
2022-11-14,40.000000,41.169998,39.639999,40.660000,40.250965,6076200
2022-11-16,40.400002,40.680000,38.320000,38.709999,38.320580,14823500
2022-11-17,38.310001,39.759998,37.520000,39.549999,39.152134,8238900
2022-11-18,39.560001,40.279999,39.099998,39.279999,38.884846,6672000
2022-11-21,39.389999,39.840000,38.860001,39.490002,39.092739,4928900
2022-11-22,39.650002,40.000000,38.290001,38.900002,38.508675,7992000
2022-11-23,38.779999,39.259998,38.400002,38.939999,38.548267,5489100
2022-11-24,39.200001,40.570000,39.060001,39.759998,39.360023,5489500
2022-11-25,39.779999,39.790001,38.599998,39.099998,38.706657,4690200
2022-11-28,38.820000,38.820000,37.270000,37.500000,37.122757,7981800
2022-11-29,37.419998,38.500000,36.430000,37.709999,37.330647,9077200
2022-11-30,37.709999,39.240002,37.529999,39.000000,38.607666,12458900
2022-12-01,38.810001,39.349998,38.009998,38.310001,37.924606,6962500
2022-12-02,38.380001,39.380001,37.860001,38.660000,38.271084,6555700
2022-12-05,38.009998,38.290001,37.240002,37.599998,37.221748,6914000
2022-12-06,38.000000,38.090000,36.919998,37.709999,37.330647,5641000
2022-12-07,37.709999,38.000000,36.849998,37.259998,36.885170,4978700
2022-12-08,37.020000,37.680000,36.700001,37.200001,36.825775,5710700
2022-12-09,37.220001,37.610001,36.950001,37.099998,36.726780,4345000
2022-12-12,36.950001,37.040001,35.650002,36.070000,35.707146,10669500
2022-12-13,36.070000,37.230000,35.450001,35.790001,35.429962,10196600
2022-12-14,35.799999,37.459999,35.660000,37.060001,36.687183,14185900
2022-12-15,36.500000,37.680000,36.360001,37.080002,36.706982,8144300
2022-12-16,36.990002,37.549999,36.759998,37.450001,37.073257,12123500
2022-12-19,37.689999,38.430000,37.650002,38.119999,37.791370,6603400
2022-12-20,38.110001,39.139999,38.110001,38.430000,38.098694,7623900
2022-12-21,38.580002,38.840000,37.950001,38.400002,38.068958,6900900
2022-12-22,38.450001,39.099998,38.450001,38.939999,38.604298,5599500
2022-12-23,39.160000,39.380001,38.070000,38.500000,38.168095,9476400
2022-12-26,38.330002,38.740002,37.910000,38.189999,37.860760,2339100
2022-12-27,38.500000,38.520000,37.779999,38.009998,37.682316,4735700
2022-12-28,38.220001,39.330002,38.189999,38.700001,38.366371,5410500
2022-12-29,38.840000,38.990002,38.250000,38.509998,38.178005,6444500
2023-01-02,38.500000,38.500000,37.740002,38.099998,37.771542,3017700
2023-01-03,38.110001,38.369999,36.889999,37.150002,36.829735,5662900
2023-01-04,37.330002,37.689999,36.660000,37.400002,37.077576,6169800
2023-01-05,37.590000,37.900002,37.259998,37.480000,37.156883,6660600
2023-01-06,37.490002,38.270000,37.299999,38.029999,37.702141,4071700
2023-01-09,38.000000,38.299999,37.220001,37.919998,37.593090,5730600
2023-01-10,37.520000,37.910000,37.080002,37.549999,37.226284,6556000
2023-01-11,37.490002,38.700001,37.200001,38.599998,38.267227,5982900
2023-01-12,38.540001,38.990002,38.200001,38.509998,38.178005,5376000
2023-01-13,38.189999,39.360001,37.919998,38.970001,38.634045,4957200
2023-01-16,39.099998,39.099998,37.270000,37.689999,37.365074,7545600
2023-01-17,37.950001,38.570000,37.740002,38.310001,37.979729,4932900
2023-01-18,38.590000,38.790001,37.799999,37.990002,37.662491,5833500
2023-01-19,37.720001,38.209999,37.560001,37.910000,37.583176,5522400
2023-01-20,37.889999,37.910000,37.209999,37.330002,37.008183,6967000
2023-01-23,37.320000,38.110001,37.160000,37.369999,37.047836,4331400
2023-01-24,37.740002,37.740002,36.770000,37.209999,36.889214,7500200
2023-01-25,37.150002,39.330002,37.110001,38.720001,38.386196,12935100
2023-01-26,38.770000,38.959999,36.959999,38.209999,37.880589,11767800
2023-01-27,38.110001,38.570000,37.169998,37.910000,37.583176,14610700
2023-01-30,38.000000,38.029999,37.090000,37.349998,37.028004,8055300
2023-01-31,37.279999,38.740002,37.220001,38.240002,37.910339,9636200
2023-02-01,38.189999,38.750000,37.720001,38.389999,38.059040,6318500
2023-02-02,38.130001,38.980000,37.709999,38.040001,37.712059,7112600
2023-02-03,37.840000,38.599998,37.709999,37.910000,37.583176,8093400
2023-02-06,37.840000,38.029999,37.220001,37.570000,37.246109,6881500
2023-02-07,37.500000,37.889999,37.230000,37.669998,37.345249,8673800
2023-02-08,37.650002,38.320000,37.330002,37.660000,37.335335,4938900
2023-02-09,37.740002,38.509998,37.599998,37.980000,37.652576,6409800
2023-02-10,37.889999,38.759998,37.500000,38.599998,38.267227,7127800
2023-02-13,38.520000,39.180000,38.360001,38.580002,38.247406,5129800
2023-02-14,38.630001,39.349998,38.169998,38.360001,38.029305,6066600
2023-02-15,38.880001,39.340000,38.500000,38.880001,38.544815,10995900
2023-02-16,38.720001,38.959999,37.799999,38.779999,38.445679,7342600
2023-02-17,38.549999,39.750000,38.419998,39.619999,39.278431,8000500
2023-02-22,39.500000,39.669998,38.360001,38.400002,38.287651,8043500
2023-02-23,38.490002,39.540001,38.250000,39.240002,39.125191,9948300
2023-02-24,39.049999,39.279999,38.349998,38.860001,38.746304,5112700
2023-02-27,38.919998,39.360001,38.470001,38.799999,38.686478,4714600
2023-02-28,38.790001,39.340000,38.770000,39.160000,39.045422,7461500
2023-03-01,39.160000,39.880001,38.689999,39.380001,39.264782,7934900
2023-03-02,39.369999,39.759998,38.990002,39.160000,39.045422,4163300
2023-03-03,39.360001,39.720001,38.720001,38.840000,38.726360,5339900
2023-03-06,38.990002,39.590000,38.700001,39.430000,39.314636,5594500
2023-03-07,39.299999,39.770000,39.139999,39.590000,39.474167,4956200
2023-03-08,39.599998,40.320000,39.419998,40.160000,40.042500,7378100
2023-03-09,40.000000,40.299999,39.860001,39.860001,39.743378,5384100
2023-03-10,39.820000,39.990002,39.320000,39.540001,39.424313,4632900
2023-03-13,39.209999,40.290001,39.060001,39.790001,39.673580,7427900
2023-03-14,39.700001,40.349998,39.700001,40.259998,40.142204,4704200
2023-03-15,40.049999,40.470001,39.650002,40.070000,39.952763,6236000
2023-03-16,40.110001,40.389999,39.830002,40.299999,40.182087,6583700
2023-03-17,40.110001,40.230000,39.720001,39.869999,39.753345,9680200
2023-03-20,40.099998,40.340000,39.580002,39.700001,39.636768,5827400
2023-03-21,39.840000,40.279999,39.799999,39.959999,39.896351,5241100
2023-03-22,39.970001,40.250000,39.380001,39.520000,39.457054,4920900
2023-03-23,39.599998,40.360001,39.529999,39.889999,39.826466,6499000
2023-03-24,40.000000,40.610001,39.810001,40.509998,40.445477,6714600
2023-03-27,40.779999,41.310001,40.549999,41.189999,41.124393,7311600
2023-03-28,41.169998,41.869999,41.130001,41.369999,41.304108,6873300
2023-03-29,41.480000,42.150002,41.270000,41.730000,41.663532,7454100
2023-03-30,41.790001,42.029999,41.060001,41.860001,41.793327,5155400
2023-03-31,41.919998,42.369999,40.450001,40.549999,40.485413,10945300
2023-04-03,40.790001,40.790001,39.299999,39.590000,39.526943,8938800
2023-04-04,39.860001,39.939999,39.250000,39.630001,39.566879,6442000
2023-04-05,39.709999,39.930000,38.459999,38.750000,38.688282,7128200
2023-04-06,38.740002,39.180000,38.540001,38.610001,38.548504,3998900
2023-04-10,38.509998,38.759998,38.169998,38.389999,38.328854,4469500
2023-04-11,38.650002,39.330002,38.639999,39.090000,39.027740,7179900
2023-04-12,39.259998,40.430000,39.180000,39.740002,39.676704,9407100
2023-04-13,39.790001,40.060001,39.130001,39.369999,39.307293,6615400
2023-04-14,38.930000,39.020000,38.310001,38.759998,38.698261,6485300
2023-04-17,38.840000,39.500000,38.820000,39.480000,39.417118,3679400
2023-04-18,39.509998,39.720001,38.849998,39.270000,39.207455,5687600
2023-04-19,39.080002,39.509998,38.919998,39.110001,39.047707,4241900
2023-04-20,39.330002,40.389999,38.900002,40.250000,40.185890,9536000
2023-04-24,40.349998,40.759998,39.950001,40.349998,40.285732,8144200
2023-04-25,40.700001,41.169998,40.310001,40.540001,40.475430,9244600
2023-04-26,41.070000,41.389999,39.680000,40.110001,40.046116,9771600
2023-04-27,40.180000,40.450001,39.669998,40.349998,40.285732,5337900
2023-04-28,40.110001,41.119999,40.110001,41.119999,41.054504,7415000
2023-05-02,40.680000,41.570000,40.360001,40.820000,40.754982,5799900
2023-05-03,40.660000,40.990002,39.869999,39.900002,39.836452,5451100
2023-05-04,40.000000,40.200001,39.169998,39.299999,39.237404,5340400
2023-05-05,39.160000,39.529999,38.799999,39.220001,39.157532,7852800
2023-05-08,39.430000,39.549999,38.820000,39.200001,39.137566,4669200
2023-05-09,39.240002,39.919998,39.189999,39.860001,39.796513,3642300
2023-05-10,39.799999,40.020000,39.340000,39.349998,39.287323,4335000
2023-05-11,39.180000,39.500000,38.869999,39.320000,39.257374,6709000
2023-05-12,39.099998,39.630001,38.799999,38.910000,38.848026,5474100
2023-05-15,39.000000,39.770000,38.970001,39.639999,39.576862,5580100
2023-05-16,39.490002,40.070000,39.410000,39.700001,39.636768,4265800
2023-05-17,39.889999,40.060001,39.369999,39.459999,39.397148,3886400
2023-05-18,39.450001,39.580002,39.080002,39.299999,39.237404,5386900
2023-05-19,39.470001,40.480000,39.090000,40.130001,40.066082,11502300
2023-05-22,39.900002,40.880001,39.849998,40.360001,40.295715,6401900
2023-05-23,40.299999,40.869999,40.020000,40.220001,40.155941,5552000
2023-05-24,40.099998,40.330002,39.750000,39.820000,39.756577,3074900
2023-05-25,40.259998,40.279999,38.849998,39.040001,38.977821,7746200
2023-05-26,39.380001,39.630001,39.049999,39.509998,39.447067,6524500
2023-05-29,39.509998,39.540001,38.730000,38.880001,38.818073,3442100
2023-05-30,39.180000,39.259998,38.230000,38.340000,38.278934,6349200
2023-05-31,38.209999,38.340000,37.610001,37.610001,37.550098,12497500
2023-06-01,37.830002,38.000000,37.189999,37.189999,37.130764,10739000
2023-06-02,37.279999,37.900002,36.930000,37.669998,37.610001,9999400
2023-06-05,37.779999,38.119999,37.439999,37.630001,37.570065,4888100
2023-06-06,37.880001,38.330002,37.830002,38.200001,38.139156,6913000
2023-06-07,38.389999,38.450001,37.930000,38.150002,38.089237,7235000
2023-06-09,38.259998,38.799999,37.730000,37.799999,37.739792,8603000
2023-06-12,37.970001,38.020000,37.610001,37.750000,37.689873,7812500
2023-06-13,37.900002,37.930000,37.230000,37.349998,37.290508,10187500
2023-06-14,37.570000,37.869999,37.410000,37.869999,37.809681,11544100
2023-06-15,37.910000,37.990002,37.560001,37.840000,37.779732,6148900
2023-06-16,37.709999,38.299999,37.700001,37.849998,37.789711,10825900
2023-06-19,37.869999,38.189999,37.570000,37.669998,37.610001,3436700
2023-06-20,37.660000,37.660000,36.880001,36.950001,36.891148,6858200
2023-06-21,37.029999,37.130001,36.320000,36.450001,36.391945,11890100
2023-06-22,36.259998,36.560001,36.099998,36.400002,36.342026,4656400
2023-06-23,36.490002,36.599998,36.139999,36.599998,36.541702,5203600
2023-06-26,36.650002,36.669998,35.820000,36.400002,36.400002,6546100
2023-06-27,36.470001,36.650002,35.970001,36.500000,36.500000,6131000
2023-06-28,36.639999,36.779999,36.279999,36.580002,36.580002,6256700
